два	d v a
журналіст	ʐ u r n a lʲ i s t
каляды	k a lʲ a d ɨ
голы	ɣ o ɫ ɨ
віталій	vʲ i t a lʲ i j
пачаць	p a t͡ʂ a t͡sʲ
край	k r a j
забараняць	z a b a r a nʲ a t͡sʲ
абарона	a b a r o n a
цана	t͡s a n a
армія	a r mʲ i j a
храм	x r a m
мінск	mʲ i n s k
ала	a ɫ a
звычайны	z v ɨ t͡ʂ a j n ɨ
аргазм	a r ɣ a z m
калена	k a lʲ e n a
глупства	ɣ ɫ u p s t v a
злачынства	z ɫ a t͡ʂ ɨ n s t v a
абавязковы	a b a vʲ a s k o v ɨ
стараста	s t a r a s t a
малады	m a ɫ a d ɨ
гандаль	ɣ a n d a lʲ
блізка	b lʲ i s k a
незвычайны	nʲ e z v ɨ t͡ʂ a j n ɨ
хтось	x t o sʲ
вецер	vʲ e t͡sʲ e r
азэрбайджан	a z e r b a j d͡ʐ a n
грудзі	ɣ r u d͡zʲ i
славянскі	s ɫ a vʲ a n s kʲ i
нарада	n a r a d a
уявіць	u j a vʲ i t͡sʲ
сусед	s u sʲ e t
куля	k u lʲ a
ужываць	u ʐ ɨ v a t͡sʲ
здаровы	z d a r o v ɨ
сувязь	s u vʲ a sʲ
аўтамабіль	a u̯ t a m a bʲ i lʲ
дыктатура	d ɨ k t a t u r a
пятро	pʲ a t r o
спроба	s p r o b a
крама	k r a m a
магчымы	m a x t͡ʂ ɨ m ɨ
збожжа	z b o ʐː a
страўнік	s t r a u̯ nʲ i k
забараніць	z a b a r a nʲ i t͡sʲ
косава	k o s a v a
антон	a n t o n
брак	b r a k
пабудаваць	p a b u d a v a t͡sʲ
тата	t a t a
рахунак	r a x u n a k
сібір	sʲ i bʲ i r
колькасць	k o lʲ k a sʲ t͡sʲ
пасол	p a s o ɫ
цуд	t͡s u t
двор	d v o r
патрабаваць	p a t r a b a v a t͡sʲ
цёмны	t͡sʲ o m n ɨ
маўчаць	m a u̯ t͡ʂ a t͡sʲ
гаспадарка	ɣ a s p a d a r k a
лідзія	lʲ i d͡zʲ i j a
казка	k a s k a
напісаць	n a pʲ i s a t͡sʲ
паказаць	p a k a z a t͡sʲ
мужчынах	m u ʂ t͡ʂ ɨ n a x
верны	vʲ e r n ɨ
шушкевіч	ʂ u ʂ kʲ e vʲ i t͡ʂ
твар	t v a r
моцны	m o t͡s n ɨ
венгр	vʲ e n ɣ r
скрыпка	s k r ɨ p k a
увесну	u vʲ e s n u
лукашэнкаў	ɫ u k a ʂ e n k a u̯
штосьці	ʂ t o sʲ t͡sʲ i
кастрычнік	k a s t r ɨ t͡ʂ nʲ i k
будучыня	b u d u t͡ʂ ɨ nʲ a
полымя	p o ɫ ɨ mʲ a
малдова	m a ɫ d o v a
мітынг	mʲ i t ɨ n x
глеб	ɣ lʲ e p
верагодны	vʲ e r a ɣ o d n ɨ
лётнішча	lʲ o t nʲ i ʂ t͡ʂ a
намер	n a mʲ e r
рэвалюцыя	r e v a lʲ u t͡s ɨ j a
забіваць	z a bʲ i v a t͡sʲ
лепшы	lʲ e p ʂ ɨ
спорт	s p o r t
прытулак	p r ɨ t u ɫ a k
родны	r o d n ɨ
калгас	k a ɫ ɣ a s
звязда	zʲ vʲ a z d a
ланцуг	ɫ a n t͡s u x
собаль	s o b a lʲ
план	p ɫ a n
сумнеў	s u m nʲ e u̯
шкодны	ʂ k o d n ɨ
муха	m u x a
русь	r u sʲ
каралеўскі	k a r a lʲ e u̯ s kʲ i
выдаваць	v ɨ d a v a t͡sʲ
трава	t r a v a
тамара	t a m a r a
калаўрот	k a ɫ a u̯ r o t
шклянка	ʂ k lʲ a n k a
помста	p o m s t a
навальніца	n a v a lʲ nʲ i t͡s a
дакладны	d a k ɫ a d n ɨ
пашпарт	p a ʂ p a r t
апранаць	a p r a n a t͡sʲ
дзіва	d͡zʲ i v a
горадня	ɣ o r a d nʲ a
насіць	n a sʲ i t͡sʲ
таксі	t a k sʲ i
прымаць	p r ɨ m a t͡sʲ
вытворчасць	v ɨ t v o r t͡ʂ a sʲ t͡sʲ
непасрэдны	nʲ e p a s r e d n ɨ
глядзець	ɣ lʲ a d͡zʲ e t͡sʲ
корань	k o r a nʲ
рай	r a j
арышт	a r ɨ ʂ t
высокі	v ɨ s o kʲ i
лекар	lʲ e k a r
выкарыстоўваць	v ɨ k a r ɨ s t o u̯ v a t͡sʲ
плошча	p ɫ o ʂ t͡ʂ a
лес	lʲ e s
лік	lʲ i k
вечар	vʲ e t͡ʂ a r
галава	ɣ a ɫ a v a
мільён	mʲ i lʲ j o n
рэспубліка	r e s p u b lʲ i k a
магіла	m a ɣʲ i ɫ a
нямеччына	nʲ a mʲ e t͡ʂː ɨ n a
сямнаццаць	sʲ a m n a t͡sː a t͡sʲ
вежа	vʲ e ʐ a
іншы	j i n ʂ ɨ
нікарагуа	nʲ i k a r a ɣ u a
берлін	bʲ e r lʲ i n
бюро	bʲ u r o
антаніна	a n t a nʲ i n a
здароў	z d a r o u̯
назва	n a z v a
правадыр	p r a v a d ɨ r
жадаць	ʐ a d a t͡sʲ
кудысьці	k u d ɨ sʲ t͡sʲ i
кітаец	kʲ i t a j e t͡s
ленін	lʲ e nʲ i n
ровар	r o v a r
забыць	z a b ɨ t͡sʲ
брацтва	b r a t͡s t v a
канстытуцыя	k a n s t ɨ t u t͡s ɨ j a
раіса	r a j i s a
рамяство	r a mʲ a s t v o
верш	vʲ e r ʂ
дзявяты	d͡zʲ a vʲ a t ɨ
пачацца	p a t͡ʂ a t͡sː a
паветра	p a vʲ e t r a
юлія	j u lʲ i j a
камунізм	k a m u nʲ i z m
няшмат	nʲ a ʂ m a t
мех	mʲ e x
слабы	s ɫ a b ɨ
браніслаў	b r a nʲ i s ɫ a u̯
аўтобус	a u̯ t o b u s
бялград	bʲ a ɫ ɣ r a t
рэлігія	r e lʲ i ɣʲ i j a
руская	r u s k a j a
памер	p a mʲ e r
жыла	ʐ ɨ ɫ a
прыстасаванне	p r ɨ s t a s a v a nʲː e
кіт	kʲ i t
лятаць	lʲ a t a t͡sʲ
паэзія	p a e zʲ i j a
музыка	m u z ɨ k a
карабель	k a r a bʲ e lʲ
худы	x u d ɨ
фінляндыя	fʲ i n lʲ a n d ɨ j a
улетку	u lʲ e t k u
есьці	j e sʲ t͡sʲ i
ганяць	ɣ a nʲ a t͡sʲ
радыкалізм	r a d ɨ k a lʲ i z m
лінія	lʲ i nʲ i j a
мёд	mʲ o t
поўдзень	p o u̯ d͡zʲ e nʲ
