abair	a bˠ ə ɾʲ
suí	sˠ iː
sáile	sˠ ɑː lʲ ə
síle	ʃ iː lʲ ə
síochán	ʃ iː x ɑː n̪ˠ
síoda	ʃ iː d̪ˠ ə
síol	ʃ iː ə lˠ
síos	ʃ iː sˠ
súile	sˠ uː lʲ ə
tada	t̪ˠ a d̪ˠ ə
tae	t̪ˠ eː
tagann	t̪ˠ a ɡ ə n̪ˠ
taifead	t̪ˠ a fʲ ə d̪ˠ
taighde	t̪ˠ ə i dʲ ə
tais	t̪ˠ a ʃ
taisce	t̪ˠ a ʃ c ɪ
tapa	t̪ˠ a pˠ ə
tar	t̪ˠ a ɾˠ
tarlú	t̪ˠ ɑː ɾˠ l̪ˠ uː
teachta	tʲ a x t̪ˠ ə
teannta	tʲ ə u n̪ˠ t̪ˠ ə
teastas	tʲ a sˠ t̪ˠ ə sˠ
teideal	tʲ ɛ dʲ ə l
teilifís	tʲ ɛ lʲ ɪ fʲ iː ʃ
teilifíse	tʲ ɛ lʲ ə fʲ iː ʃ ə
thart	h a ɾˠ t̪ˠ
theach	h a x
thiar	h i ə ɾˠ
thig	h ɪ ɟ
thit	h ɪ tʲ
thoir	h ɛ ɾʲ
thuiscint	h ɪ ʃ c ɪ n̠ʲ tʲ
thusa	h ʊ sˠ ə
thánadar	h ɑː n̪ˠ ə d̪ˠ ə ɾˠ
thíos	h iː sˠ
thú	h uː
tiarna	tʲ i ə ɾˠ n̪ˠ ə
ticéad	tʲ ɪ c eː d̪ˠ
tig	tʲ ɪ ɟ
tine	tʲ ɪ nʲ ə
tinneas	tʲ ɪ n̠ʲ ə sˠ
tiobraid	tʲ ʊ b ɾˠ ɪ dʲ
tite	tʲ ɪ tʲ ə
titim	tʲ ɪ tʲ ə mʲ
tobac	t̪ˠ ə bˠ a k
tolg	t̪ˠ ɔ lˠ ə ɡ
tomhas	t̪ˠ õː sˠ
torthaí	t̪ˠ ɔ ɾˠ iː
tost	t̪ˠ ɔ sˠ t̪ˠ
traein	t̪ˠ ɾˠ eː nʲ
triall	tʲ ɾʲ i ə l̪ˠ
trian	tʲ ɾʲ i ə nˠ
triúr	tʲ ɾʲ uː ɾˠ
troid	t̪ˠ ɾˠ ɪ dʲ
tréith	tʲ ɾʲ eː
tréithe	tʲ ɾʲ eː h ə
trí	tʲ ɾʲ iː
tríd	tʲ ɾʲ iː dʲ
trína	tʲ ɾʲ iː nˠ ə
tríú	tʲ ɾʲ iː uː
tsaoir	t̪ˠ iː ɾʲ
tsúil	t̪ˠ uː lʲ
tuairim	t̪ˠ u ə ɾʲ ə mʲ
tuairisc	t̪ˠ u ə ɾʲ ɪ ʃ c
tuaisceart	t̪ˠ u ə ʃ c ə ɾˠ t̪ˠ
tuama	t̪ˠ u ə mˠ ə
tugann	tˠ ʊ ɡ ə n̪ˠ
tuigeann	t̪ˠ ɪ ɟ ə n̪ˠ
tuirse	t̪ˠ ʊ ɾˠ ʃ ə
tuiscint	t̪ˠ ɪ ʃ c ɪ nʲ tʲ
tusa	t̪ˠ ʊ sˠ ə
tuí	t̪ˠ iː
té	tʲ eː
téann	tʲ eː n̪ˠ
téarma	tʲ eː ɾˠ mˠ ə
tí	tʲ iː
tíocht	tʲ i ə x t̪ˠ
tíor	tʲ iː ɾˠ
tír	tʲ iː ɾʲ
tíre	tʲ iː ɾʲ ə
tóg	t̪ˠ oː ɡ
tógaint	t̪ˠ oː ɡ ə nʲ tʲ
tógálaí	t̪ˠ oː ɡ aː lˠ iː
tú	t̪ˠ uː
túir	t̪ˠ uː ɾʲ
túisce	t̪ˠ uː ʃ c ɪ
túr	t̪ˠ uː ɾˠ
uachtarán	u ə x t̪ˠ ə ɾˠ ɑː nˠ
uaighe	u ə j
uaimse	w æ mʲ ʃ ə
uair	u ə ɾʲ
uaire	u ə ɾʲ ə
uasal	u ə sˠ ə lˠ
uathu	w oː bˠ
uile	ɪ lʲ ə
uimhir	ɪ vʲ ə ɾʲ
uirlis	uː ɾˠ l̠ʲ ə ʃ
uisce	ɪ ʃ c ɪ
um	ʊ mˠ
urraim	ɪ ɾʲ ə mʲ
éad	eː d̪ˠ
éadan	eː d̪ˠ ə nˠ
éadrom	eː d̪ˠ ɾˠ ə mˠ
éasca	eː sˠ k ə
éigean	eː ɟ ə nˠ
éigin	eː ɟ ɪ nʲ
éire	eː ɾʲ ə
éireoidh	ə i ɾʲ oː
éist	eː ʃ tʲ
íoc	iː k
íosa	iː sˠ ə
íseal	iː ʃ ə lˠ
ón	oː nˠ
úd	uː d̪ˠ
údar	uː d̪ˠ ə ɾˠ
úna	uː nˠ ə
úr	uː ɾˠ
úrscéal	uː ɾˠ ʃ c eː lˠ
ús	uː sˠ
