аби	ɐ b ɪ
створювати	s t w ɔ rʲ ʊ ʋ ɐ t e
століття	s t o lʲ i tʲː ɐ
століть	s t o lʲ i tʲ
стосовно	s t ɔ s ɔ u̯ n ɔ
стримувати	s t r ɪ m ʊ ʋ ɐ t e
стрілка	s tʲ rʲ i ɫ k ɐ
студент	s t ʊ d ɛ n t
студентка	s t ʊ d ɛ n t k ɐ
ступінь	s t u pʲ i nʲ
стіл	sʲ tʲ i ɫ
суверенітет	s ʊ ʋ e r e nʲ i t ɛ t
сукні	s u k nʲ i
супругах	s ʊ p r u ɦ ɐ x
сьогодні	sʲ ɔ ɦ ɔ dʲ nʲ i
сьогоднішній	sʲ ɔ ɦ ɔ dʲ nʲ i ʃ nʲ i i̯
сідати	sʲ i d ɑ t e
сімейний	sʲ i m ɛ i̯ n e i̯
та	t ɑ
такий	t ɐ k ɪ i̯
те	t ɛ
теж	t ɛ ʒ
текст	t ɛ k s t
температура	t e m p e r ɐ t u r ɐ
території	t e r e t ɔ rʲ i j i
термін	t ɛ r mʲ i n
тернопіль	t e r n ɔ pʲ i lʲ
тестування	t e s t ʊ ʋ ɑ nʲː ɐ
тижня	t ɪ ʒ nʲ ɐ
тимошенко	t e m ɔ ʃ ɛ n k ɔ
тих	t ɪ x
тобто	t ɔ b t ɔ
тобі	t o bʲ i
товар	t ɔ ʋ ɑ r
того	t ɔ ɦ ɔ
тоді	t o dʲ i
тож	t ɔ ʒ
тощо	t ɔ ʃ t͡ʃ ɔ
транспорт	t r ɑ n s p ɔ r t
треба	t r ɛ b ɐ
тренер	t r ɛ n e r
тренування	t r e n ʊ ʋ ɑ nʲː ɐ
тривалий	t r e ʋ ɑ ɫ e i̯
тримати	t r e m ɑ t e
трохи	t r ɔ x e
туди	t ʊ d ɪ
туристичний	t ʊ r e s t ɪ t͡ʃ n e i̯
ті	tʲ i
тітка	tʲ i t k ɐ
тієї	tʲ i j ɛ j i
ув'язнення	ʊ ʋ j ɑ z n e nʲː ɐ
українець	ʊ k r ɐ j i n e t͡sʲ
україни	ʊ k r ɐ j i n e
український	ʊ k r ɐ j i nʲ sʲ k e i̯
українським	ʊ k r ɐ j i nʲ sʲ k e m
українських	ʊ k r ɐ j i nʲ sʲ k e x
українського	ʊ k r ɐ j i nʲ sʲ k ɔ ɦ ɔ
українському	ʊ k r ɐ j i nʲ sʲ k ɔ m ʊ
українською	ʊ k r ɐ j i nʲ sʲ k ɔ j ʊ
української	ʊ k r ɐ j i nʲ sʲ k ɔ j i
українську	ʊ k r ɐ j i nʲ sʲ k ʊ
українські	ʊ k r ɐ j i n sʲ kʲ i
українці	ʊ k r ɐ j i nʲ t͡sʲ i
україні	ʊ k r ɐ j i nʲ i
умовах	ʊ m ɔ ʋ ɐ x
уникати	ʊ n e k ɑ t e
упередження	ʊ p e r ɛ d͡ʒ e nʲː ɐ
усьому	ʊ sʲ ɔ m ʊ
участь	u t͡ʃ ɐ sʲ tʲ
фактичний	f ɐ k t ɪ t͡ʃ n e i̯
фактично	f ɐ k t ɪ t͡ʃ n ɔ
формування	f ɔ r m ʊ ʋ ɑ nʲː ɐ
фрагменти	f r ɐ ɦ m ɛ n t e
функціональний	f ʊ n k t͡sʲ i ɔ n ɑ lʲ n e i̯
фізичний	fʲ i z ɪ t͡ʃ n e i̯
філологічний	fʲ i ɫ ɔ ɫ o ɦʲ i t͡ʃ n e i̯
філософія	fʲ i ɫ ɔ s ɔ fʲ i j ɐ
фінансовий	fʲ i n ɑ n s ɔ ʋ e i̯
хай	x ɑ i̯
харчування	x ɐ r t͡ʃ ʊ ʋ ɑ nʲː ɐ
хвороба	x w ɔ r ɔ b ɐ
хлопець	x ɫ ɔ p e t͡sʲ
хлопчик	x ɫ ɔ p t͡ʃ e k
хотів	x o tʲ i u̯
хрін	x rʲ i n
художниця	x ʊ d ɔ ʒ n e t͡sʲ ɐ
хірург	xʲ i r u r ɦ
це	t͡s ɛ
цей	t͡s ɛ i̯
центр	t͡s ɛ n t r
цим	t͡s ɪ m
цими	t͡s ɪ m e
цукор	t͡s u k ɔ r
цього	t͡sʲ ɔ ɦ ɔ
цю	t͡sʲ u
ця	t͡sʲ ɑ
цій	t͡sʲ i i̯
цілий	t͡sʲ i ɫ e i̯
цілком	t͡sʲ i ɫ k ɔ m
ціна	t͡sʲ i n ɑ
цією	t͡sʲ i j ɛ j ʊ
цієї	t͡sʲ i j ɛ j i
частина	t͡ʃ ɐ s t ɪ n ɐ
часто	t͡ʃ ɑ s t ɔ
частіше	t͡ʃ ɐ sʲ tʲ i ʃ e
честь	t͡ʃ ɛ sʲ tʲ
четвер	t͡ʃ e t ʋ ɛ r
чи	t͡ʃ ɪ
чиновник	t͡ʃ e n ɔ u̯ n e k
число	t͡ʃ e s ɫ ɔ
чистий	t͡ʃ ɪ s t e i̯
чоловік	t͡ʃ ɔ ɫ ɔ ʋʲ i k
чоловіка	t͡ʃ ɔ ɫ ɔ ʋʲ i k ɐ
чоловіки	t͡ʃ ɔ ɫ ɔ ʋʲ i k e
чоловіком	t͡ʃ ɔ ɫ ɔ ʋʲ i k ɔ m
чоловіків	t͡ʃ ɔ ɫ ɔ ʋʲ i kʲ i u̯
чому	t͡ʃ o m u
чорний	t͡ʃ ɔ r n e i̯
чорні	t͡ʃ ɔ r nʲ i
чотири	t͡ʃ ɔ t ɪ r e
чудово	t͡ʃ ʊ d ɔ w ɔ
чужий	t͡ʃ ʊ ʒ ɪ i̯
чіткий	t͡ʃʲ i t k ɪ i̯
шанс	ʃ ɑ n s
швидко	ʃ ʋ ɪ d k ɔ
широкий	ʃ e r ɔ k e i̯
школи	ʃ k ɔ ɫ e
школяр	ʃ k ɔ lʲ ɑ r
шкіру	ʃ kʲ i r ʊ
штани	ʃ t ɐ n ɪ
шторм	ʃ t ɔ r m
шість	ʃʲ i sʲ tʲ
ще	ʃ t͡ʃ ɛ
щеплення	ʃ t͡ʃ ɛ p ɫ e nʲː ɐ
щоб	ʃ t͡ʃ ɔ b
щодня	ʃ t͡ʃ ɔ dʲ nʲ ɑ
щодо	ʃ t͡ʃ ɔ d ɔ
щонайменше	ʃ t͡ʃ ɔ n ɐ i̯ m ɛ n ʃ e
щось	ʃ t͡ʃ ɔ sʲ
юний	j u n e i̯
яка	j ɐ k ɑ
якби	j ɐ ɡ b ɪ
яке	j ɐ k ɛ
який	j ɐ k ɪ i̯
якийсь	j ɐ k ɪ i̯ sʲ
якщо	j ɐ k ʃ t͡ʃ ɔ
євген	j e u̯ ɦ ɛ n
європейський	j e u̯ r ɔ p ɛ i̯ sʲ k e i̯
єдиний	j e d ɪ n e i̯
ігор	i ɦ ɔ r
іграх	i ɦ r ɐ x
ігри	i ɦ r e
ідея	i d ɛ j ɐ
із	i z
інакше	i n ɑ k ʃ e
інна	i nː ɐ
іноді	i n ɔ dʲ i
інформація	i n f ɔ r m ɑ t͡sʲ i j ɐ
інфраструктура	i n f r ɐ s t r ʊ k t u r ɐ
інфікування	i nʲ fʲ i k ʊ ʋ ɑ nʲː ɐ
інший	i n ʃ e i̯
іншими	i n ʃ e m e
іншого	i n ʃ ɔ ɦ ɔ
історія	i s t ɔ rʲ i j ɐ
їй	j i i̯
їм	j i m
їсти	j i s t e
їх	j i x
їхати	j i x ɐ t e
їхній	j i x nʲ i i̯
її	j i j i
ґудзик	ɡ u d͡z e k
