ab	a p
vermeiden	f ɛ ɐ̯ m a ɪ̯ d ə n
vernichten	f ɛ ɐ̯ n ɪ ç t ə n
verscheuchen	f ɛ ɐ̯ ʃ ɔ ɪ ç ə n
verschieben	f ɛ r ʃ iː b ə n
versicherte	f ɛ ɐ̯ z ɪ ç ɐ t ə
versickern	f ɛ ɐ̯ z ɪ k ɐ n
verständnis	f ɛ ɐ̯ ʃ t ɛ n t n ɪ s
verstärkung	f ɛ ɐ̯ ʃ t ɛ ʁ k ʊ ŋ
versuchen	f ɛ ɐ̯ z uː x ə n
verteidigung	f ɛ ɐ̯ t a ɪ̯ d ɪ ɡ ʊ ŋ
verteilen	f ɛ ʁ t a ɪ̯ l ə n
vertrauen	f ɛ ɐ̯ t ʁ a ʊ̯ ə n
vertreibung	f ɛ ʁ t ʁ a ɪ̯ b ʊ ŋ
veränderung	f ɛ ɐ̯ ɛ n d ə ʁ ʊ ŋ
verärgern	f ɛ ʁ ʔ ɛ ʁ ɡ ɐ n
videokonferenz	v iː d e o k ɔ n f e ʁ ɛ n t͡s
viele	f iː l ə
vieles	f iː l ə s
violett	v iː o l ɛ t
viren	v iː r ə n
volkes	f ɔ l k ə s
voll	f ɔ l
vollendung	f ɔ l ʔ ɛ n d ʊ ŋ
von	f ɔ n
vorbild	f oː ɐ̯ b ɪ l t
vorgänger	f oː ɐ̯ ɡ ɛ ŋ ɐ
vorhaben	f oː ʁ h aː b ə n
vorjahr	f oː ɐ̯ j aː ɐ̯
vorsitz	f oː ɐ̯ z ɪ t s
vorwurf	f oː ʁ v ʊ ʁ f
vorüber	f o ʁ yː b ɐ
waffe	v a f ə
wahl	v aː l
wahlen	v aː l ə n
wahllokal	v aː l l o k aː l
wahrscheinlich	v aː ɐ̯ ʃ a ɪ̯ n l ɪ ç
wann	v a n
wegwerfen	v ɛ k v ɛ ɐ̯ f n̩
weil	v a ɪ̯ l
wein	v a ɪ̯ n
weise	v a ɪ̯ z ə
weisse	v a ɪ̯ s ə
welche	v ɛ l ç ə
welt	v ɛ l t
weltweit	v ɛ l t v a ɪ̯ t
wenig	v eː n ɪ ç
wer	v eː r
werktags	v ɛ r k t aː k s
werte	v ɛ ɐ̯ t ə
wettbewerb	v ɛ t b ə v ɛ ʁ p
wetter	v ɛ t ɐ
will	v ɪ l
willkommen	v ɪ l k ɔ m ə n
windschutzscheibe	v ɪ n t ʃ ʊ t͡s ʃ a ɪ̯ b ə
winzerin	v ɪ n t s ɐ ʁ ɪ n
wird	v ɪ ɐ̯ t
wirken	v ɪ ʁ k ə n
wirklich	v ɪ ʁ k l ɪ ç
wo	v oː
woche	v ɔ x ə
wochenende	v ɔ χ n̩ ʔ ɛ n d ə
wohl	v oː l
wohlleben	v oː l l eː b n̩
wohnen	v oː n ə n
wohnung	v oː n ʊ ŋ
wollte	v ɔ l t ə
wort	v ɔ r t
wunderbar	v ʊ n d ɐ b aː ɐ̯
wunsch	v ʊ n ʃ
wurde	v ʊ ʁ d ə
würde	v ʏ ʁ d ə
zahl	t s aː l
zart	t s aː r t
zehn	t͡s eː n
zeichen	t s a ɪ̯ ç ə n
zeigen	t͡s a ɪ̯ ɡ ə n
zeitlos	t͡s a ɪ̯ t l oː s
zeitpunkt	t s a ɪ̯ t p ʊ ŋ k t
zeitraum	t s a ɪ̯ t ʁ a ʊ̯ m
zeugin	t s ɔ ʏ̯ ɡ ɪ n
zuerst	t s u ʔ eː ɐ̯ s t
zufall	t͡s uː f a l
zufolge	t s u f ɔ l ɡ ə
zugleich	t͡s u ɡ l a ɪ̯ ç
zugänglich	t s uː ɡ ɛ ŋ l ɪ ç
zumindest	t͡s u m ɪ n d ə s t
zunächst	t s u n ɛː ç s t
zur	t s uː ɐ̯
zurzeit	t s ʊ r t s a ɪ t
zurück	t͡s u ʁ ʏ k
zuschauer	t͡s uː ʃ a ʊ̯ ɐ
zuvor	t͡s u f oː ɐ̯
zwar	t͡s v aː ɐ̯
zweierlei	t s v a ɪ̯ ɐ l a ɪ̯
zweifel	t͡s v a ɪ̯ f l̩
zweitens	t͡s v a ɪ̯ t n̩ s
zweiter	t͡s v a ɪ̯ t ɐ
zwingen	t s v ɪ ŋ ə n
zwischen	t s v ɪ ʃ ə n
zwölf	t͡s v œ l f
zürcher	t͡s ʏ ʁ ç ɐ
äussern	ɔ ʏ̯ s ɐ n
öffnen	ʔ œ f n ə n
öffnung	œ f n ʊ ŋ
österreich	øː s t ə ʁ a ɪ ç
überhaupt	yː b ɐ h a ʊ̯ p t
überlegungen	y b ɐ l eː ɡ ʊ ŋ ə n
überraschend	yː b ɐ ʁ a ʃ ə n t
überrascht	yː b ɐ ʁ a ʃ t
übertragen	yː b ə r t r aː ɡ ə n
überwindung	yː b ɐ v ɪ n d ʊ ŋ
